,Profile Name,Duration,Title,Country,Type,Hour,Day,Month,Year,Device Category,tconst,titleType,primaryTitle,genres,averageRating,numVotes
10771,Home,0.1969444444444444,Man Vs Bee,GB (United Kingdom),TV Show,20,26,6,2022,Apple Mobile Devices,,,,,,
11430,Home,0.1836111111111111,Doctor (Tamil),TH (Thailand),Movie,13,8,6,2022,Set Top Boxes,,,,,,
11942,Home,1.617222222222222,Theeya Velai Seyyanum Kumaru,TH (Thailand),Movie,10,20,5,2022,Set Top Boxes,,,,,,
11943,Home,2.390277777777778,Oh! Baby (Tamil),TH (Thailand),Movie,12,19,5,2022,Set Top Boxes,,,,,,
11944,Home,0.6144444444444445,Mughizh,TH (Thailand),Movie,13,18,5,2022,Set Top Boxes,,,,,,
11945,Home,0.4255555555555556,Kurup (Tamil),TH (Thailand),Movie,12,18,5,2022,Set Top Boxes,,,,,,
11947,Home,0.7144444444444444,Kurup (Tamil),TH (Thailand),Movie,13,17,5,2022,Set Top Boxes,,,,,,
11949,Home,1.896111111111111,Kd (A) Karuppudurai,TH (Thailand),Movie,9,17,5,2022,Set Top Boxes,,,,,,
11950,Home,2.265833333333333,Doctor (Tamil),TH (Thailand),Movie,11,16,5,2022,Set Top Boxes,,,,,,
11951,Home,2.3916666666666666,Beast (Tamil),TH (Thailand),Movie,11,15,5,2022,Set Top Boxes,,,,,,
11952,Home,0.9780555555555556,Radhe Shyam (Hindi),TH (Thailand),Movie,6,15,5,2022,Set Top Boxes,,,,,,
11954,Home,0.1608333333333333,Radhe Shyam (Hindi),TH (Thailand),Movie,4,15,5,2022,Set Top Boxes,,,,,,
11955,Home,0.5986111111111111,Radhe Shyam (Hindi),TH (Thailand),Movie,3,15,5,2022,Set Top Boxes,,,,,,
11956,Home,0.1416666666666666,Feria,IN (India),TV Show,6,14,5,2022,Set Top Boxes,,,,,,
11957,Home,0.6333333333333333,My Next Guest With David Letterman And Shah Rukh Khan,IN (India),Movie,15,13,5,2022,Set Top Boxes,,,,,,
11988,Home,0.2355555555555555,Feria,IN (India),TV Show,13,12,5,2022,Set Top Boxes,,,,,,
12007,Home,0.1738888888888889,Feria,IN (India),TV Show,12,11,5,2022,Set Top Boxes,,,,,,
12026,Home,0.4658333333333333,Feria,IN (India),TV Show,11,10,5,2022,Set Top Boxes,,,,,,
12045,Home,0.2625,Feria,IN (India),TV Show,12,9,5,2022,Set Top Boxes,,,,,,
12046,Home,0.5408333333333334,Feria,TH (Thailand),TV Show,12,8,5,2022,Apple Mobile Devices,,,,,,
12059,Home,0.1036111111111111,Feria,IN (India),TV Show,7,8,5,2022,Set Top Boxes,,,,,,
